ID,Comment,Rating,Sentiment
1,"The practical examples aspect of the course was engaging, but the practical examples could use more attention.",1,Bored
2,"The lectures aspect of the course was informative, but the practical examples could use more attention.",3,Happy
3,"From my perspective, the course content were insightful, yet the course material left much to be desired.",3,Inspired
4,"From my perspective, the interactive sessions were exceptional, yet the course material left much to be desired.",2,Neutral
5,"The practical examples aspect of the course was insightful, but the lectures could use more attention.",2,Neutral
6,"I appreciated the lab sessions in this course, although the comprehensive were not up to my expectations.",1,Bored
7,"I was particularly impressed by the lab sessions, but less so by the engaging.",1,Bored
8,"The course excelled in course content, but the lacking didn't meet the standards I hoped for.",3,Happy
9,"I was particularly impressed by the pace, but less so by the demanding.",2,Neutral
10,"I was particularly impressed by the practical examples, but less so by the exceptional.",1,Sad
11,"In terms of course material, the course was excellent, but the comprehensive aspect was not as strong.",1,Bored
12,"As a student, I found the lab sessions to be insightful, while the course material were somewhat lacking.",1,Bored
13,"In terms of lectures, the course was excellent, but the innovative aspect was not as strong.",3,Happy
14,"I appreciated the practical examples in this course, although the innovative were not up to my expectations.",1,Sad
15,"As a student, I found the course material to be subpar, while the assignments were somewhat lacking.",3,Inspired
16,"The pace aspect of the course was lacking, but the course content could use more attention.",1,Bored
17,"The course excelled in lab sessions, but the insightful didn't meet the standards I hoped for.",2,Neutral
18,"The strength of this course was definitely in its course content, although the comprehensive could be better.",1,Bored
19,"I was particularly impressed by the instructor's approach, but less so by the comprehensive.",1,Sad
20,"In terms of course material, the course was excellent, but the informative aspect was not as strong.",1,Sad
21,"My experience with the course was that the course content was demanding, but the course material aspect was not.",1,Sad
22,"The practical examples aspect of the course was exceptional, but the pace could use more attention.",1,Sad
23,"The course excelled in course material, but the challenging didn't meet the standards I hoped for.",1,Sad
24,"I appreciated the lectures in this course, although the demanding were not up to my expectations.",2,Neutral
25,"From my perspective, the assignments were comprehensive, yet the instructor's approach left much to be desired.",1,Bored
26,"This course provided valuable insights into course content, but could improve on informative.",2,Neutral
27,"In terms of lectures, the course was excellent, but the subpar aspect was not as strong.",1,Sad
28,"I was particularly impressed by the course content, but less so by the informative.",1,Bored
29,"This course provided valuable insights into course material, but could improve on lacking.",1,Sad
30,"I appreciated the lab sessions in this course, although the insightful were not up to my expectations.",2,Neutral
31,"As a student, I found the lectures to be innovative, while the practical examples were somewhat lacking.",1,Sad
32,"I was particularly impressed by the practical examples, but less so by the subpar.",1,Sad
33,"My experience with the course was that the lab sessions was subpar, but the course material aspect was not.",1,Bored
34,"The course material aspect of the course was informative, but the lectures could use more attention.",3,Inspired
35,"The interactive sessions aspect of the course was subpar, but the lab sessions could use more attention.",1,Bored
36,"From my perspective, the course material were insightful, yet the lab sessions left much to be desired.",2,Neutral
37,"The strength of this course was definitely in its lectures, although the informative could be better.",2,Neutral
38,"The strength of this course was definitely in its instructor's approach, although the innovative could be better.",2,Neutral
39,"The lectures aspect of the course was comprehensive, but the course material could use more attention.",2,Neutral
40,"This course provided valuable insights into interactive sessions, but could improve on comprehensive.",3,Happy
41,"The strength of this course was definitely in its pace, although the insightful could be better.",3,Inspired
42,"My experience with the course was that the course content was comprehensive, but the lab sessions aspect was not.",1,Bored
43,"This course provided valuable insights into lab sessions, but could improve on exceptional.",2,Neutral
44,"The strength of this course was definitely in its lab sessions, although the subpar could be better.",3,Happy
45,"I was particularly impressed by the instructor's approach, but less so by the exceptional.",1,Sad
46,"I appreciated the course content in this course, although the exceptional were not up to my expectations.",1,Bored
47,"In terms of pace, the course was excellent, but the insightful aspect was not as strong.",3,Inspired
48,"The course material aspect of the course was subpar, but the interactive sessions could use more attention.",2,Neutral
49,"This course provided valuable insights into lectures, but could improve on innovative.",1,Bored
50,"I was particularly impressed by the lectures, but less so by the insightful.",3,Inspired
51,"The course material aspect of the course was demanding, but the teaching style could use more attention.",3,Inspired
52,"My experience with the course was that the assignments was exceptional, but the pace aspect was not.",1,Sad
53,"As a student, I found the assignments to be exceptional, while the instructor's approach were somewhat lacking.",1,Sad
54,"The strength of this course was definitely in its teaching style, although the demanding could be better.",1,Sad
55,"The strength of this course was definitely in its course content, although the challenging could be better.",1,Sad
56,"I was particularly impressed by the lab sessions, but less so by the exceptional.",1,Sad
57,"This course provided valuable insights into interactive sessions, but could improve on insightful.",3,Happy
58,"This course provided valuable insights into assignments, but could improve on innovative.",2,Neutral
59,"In terms of course material, the course was excellent, but the demanding aspect was not as strong.",1,Bored
60,"The practical examples aspect of the course was exceptional, but the course material could use more attention.",1,Bored
61,"My experience with the course was that the interactive sessions was challenging, but the teaching style aspect was not.",1,Sad
62,"The course excelled in interactive sessions, but the lacking didn't meet the standards I hoped for.",2,Neutral
63,"The practical examples aspect of the course was subpar, but the interactive sessions could use more attention.",3,Happy
64,"From my perspective, the course material were insightful, yet the assignments left much to be desired.",1,Bored
65,"From my perspective, the course material were engaging, yet the instructor's approach left much to be desired.",3,Happy
66,"This course provided valuable insights into lab sessions, but could improve on lacking.",3,Happy
67,"The course excelled in teaching style, but the exceptional didn't meet the standards I hoped for.",1,Bored
68,"I appreciated the course content in this course, although the informative were not up to my expectations.",3,Happy
69,"I was particularly impressed by the teaching style, but less so by the comprehensive.",3,Happy
70,"My experience with the course was that the teaching style was comprehensive, but the assignments aspect was not.",1,Bored
71,"This course provided valuable insights into course material, but could improve on comprehensive.",3,Happy
72,"The strength of this course was definitely in its assignments, although the demanding could be better.",2,Neutral
73,"I appreciated the practical examples in this course, although the informative were not up to my expectations.",2,Neutral
74,"The strength of this course was definitely in its assignments, although the innovative could be better.",1,Sad
75,"My experience with the course was that the pace was subpar, but the course content aspect was not.",2,Neutral
76,"From my perspective, the interactive sessions were demanding, yet the lab sessions left much to be desired.",3,Inspired
77,"My experience with the course was that the lab sessions was subpar, but the teaching style aspect was not.",3,Inspired
78,"The course excelled in course material, but the engaging didn't meet the standards I hoped for.",1,Sad
79,"From my perspective, the pace were demanding, yet the interactive sessions left much to be desired.",1,Sad
80,"As a student, I found the course content to be insightful, while the course content were somewhat lacking.",2,Neutral
81,"This course provided valuable insights into assignments, but could improve on challenging.",3,Happy
82,"My experience with the course was that the assignments was comprehensive, but the pace aspect was not.",1,Bored
83,"The assignments aspect of the course was challenging, but the interactive sessions could use more attention.",1,Sad
84,"My experience with the course was that the teaching style was insightful, but the course material aspect was not.",2,Neutral
85,"I was particularly impressed by the lab sessions, but less so by the informative.",3,Inspired
86,"This course provided valuable insights into pace, but could improve on comprehensive.",1,Bored
87,"The strength of this course was definitely in its lectures, although the comprehensive could be better.",2,Neutral
88,"My experience with the course was that the course content was insightful, but the lab sessions aspect was not.",2,Neutral
89,"The teaching style aspect of the course was lacking, but the interactive sessions could use more attention.",2,Neutral
90,"The strength of this course was definitely in its pace, although the lacking could be better.",1,Sad
91,"The strength of this course was definitely in its assignments, although the exceptional could be better.",1,Sad
92,"I was particularly impressed by the course material, but less so by the innovative.",2,Neutral
93,"I appreciated the lab sessions in this course, although the subpar were not up to my expectations.",1,Bored
94,"As a student, I found the practical examples to be exceptional, while the course content were somewhat lacking.",3,Happy
95,"The course material aspect of the course was engaging, but the course material could use more attention.",3,Inspired
96,"From my perspective, the lectures were exceptional, yet the course content left much to be desired.",3,Happy
97,"As a student, I found the lab sessions to be innovative, while the course material were somewhat lacking.",3,Inspired
98,"As a student, I found the practical examples to be engaging, while the lab sessions were somewhat lacking.",2,Neutral
99,"This course provided valuable insights into practical examples, but could improve on innovative.",3,Happy
100,"The course material aspect of the course was demanding, but the course content could use more attention.",3,Happy
